review_id,summary,pros,cons,rating,review_link,job_title,review_datetime,employment_status,is_current_employee,years_of_employment,location,helpful_count,not_helpful_count,business_outlook_rating,career_opportunities_rating,ceo_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating,recommend_to_friend_rating,senior_management_rating,work_life_balance_rating,language,advice_to_management
102515482,Great place to work,"Respectful peers, passionate colleagues, nice environment",Hard to get promotion at IC level,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102515482.htm,,2026-01-27T17:25:40.547Z,REGULAR,True,0,,0,0,,,,,,,,,,eng,
102515033,Good Jib,Good pay for what you do. Benefits as a part timer.,Not a lot of full time opportunities. Can be difficult to get into higher roles,4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102515033.htm,Technical Expert,2026-01-27T16:53:31.473Z,PART_TIME,True,0,"Tacoma, WA",0,0,,,,,,,,,,eng,
102513768,Good starting job,"Great culture
Great teammates
Discount/services","Micromanage
Not enough time off
Overworked
Not enough pay
Hard to move up",3,https://www.glassdoor.com/Reviews/Employee-Review--RVW102513768.htm,Retail Sales Associate,2026-01-27T15:23:06.020Z,REGULAR,False,6,"Rancho Cucamonga, CA",0,0,NEUTRAL,3.0,NO_OPINION,2.0,4.0,4.0,NEGATIVE,1.0,1.0,eng,"Open up more positions
Actually teach people how to develop"
102513455,Intern experience,"Awesome, smart people. Great workplace.",Nothing to add for this section.,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102513455.htm,Software Engineer(Internship),2026-01-27T15:00:40.123Z,INTERN,False,0,"Cupertino, CA",0,0,,,,,,,,,,eng,
102513429,good and fun experience,"good working environment, get to meet lots of nice people","lots of pressure, leadership care more about a few kpis rather than overall selling.",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102513429.htm,Retail Sales Associate,2026-01-27T14:59:09.130Z,,False,1,"Cambridge, England",0,0,POSITIVE,4.0,NO_OPINION,4.0,4.0,4.0,POSITIVE,4.0,4.0,eng,
102512543,Good,Nice work! Great people! Fun!,"Long hours, dirty, long travel.",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102512543.htm,Janitor,2026-01-27T14:03:50.533Z,PART_TIME,True,2,New Delhi,0,0,,,,,,,,,,eng,
102512216,Grea time,"Great Pay
Great work environment",Rude boss and smelled off.,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102512216.htm,Member Of Technical Staff,2026-01-27T13:47:04.217Z,FREELANCE,True,2,"Pittsburgh, PA",0,0,POSITIVE,,APPROVE,,,,POSITIVE,,,eng,
102510041,Student position,"Flexible hours, respecting the need for me to study",Can not work from home,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102510041.htm,Test Engineer Intern,2026-01-27T11:55:08.773Z,PART_TIME,False,0,Tel Aviv-Yafo,0,0,,,,,,,,,,eng,
102509963,Apple expert,"good discount
Product knowledge
Customer service","retail
Long hours
Lack of progression",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102509963.htm,Expert,2026-01-27T11:50:03.440Z,REGULAR,True,0,"London, England",0,0,,,,,,,,,,eng,
102502598,It was fine,Not bad and very bad at the same time,Really enjoyed the buffet. They had a lot of good food.,3,https://www.glassdoor.com/Reviews/Employee-Review--RVW102502598.htm,Business Anakyst,2026-01-27T06:39:29.303Z,,True,0,"Los Altos, CA",0,0,,,,,,,,,,eng,
102472394,AppleCare,"Work at home 
Good team 
Good management",None as they are doing great,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102472394.htm,Apple Care AHA Advisor,2026-01-25T21:42:48.093Z,REGULAR,True,4,"Denver, CO",0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng,None
102471582,Great but place is changing,"Great benefits and culture within 
Lots of room for growth
Wages/stocks and plenty of benefits that are lgbtq inclusive and great for parents or people in school.
Supportive management at my locations","Some of your great work goes unnoticed.
You’re only as good as last weeks results. That’s how it started feeling. Behaviors and putting the customer first was def how Apple started. Now it feels like a mill just trying to hit all transaction points and work with as many customers as once as you can.",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102471582.htm,Product Expert,2026-01-25T19:56:33.680Z,PART_TIME,False,4,"Miami, FL",0,0,POSITIVE,5.0,NO_OPINION,5.0,5.0,5.0,POSITIVE,5.0,4.0,eng,Get back to a behavior standpoint focusing more on Apple steps of service then how many customers one person can take.
102468970,Great for students!,"Great Benefits like tuition reimbursement 
Flexible with work schedule",High competition for growth or promotions,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102468970.htm,Specialist,2026-01-25T14:32:01.933Z,PART_TIME,True,4,"Vancouver, BC",0,0,POSITIVE,4.0,APPROVE,5.0,5.0,4.0,POSITIVE,4.0,5.0,eng,
102466230,Good place,"Proffessionals and team players, helping a lot","Far from home, at least for me",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102466230.htm,Working Student,2026-01-25T09:44:46.653Z,PART_TIME,False,0,Herzliya,0,0,,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng,
102465322,Great,Pretty good company w/good people.,Long hours for work and customers,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102465322.htm,Sales Associate,2026-01-25T08:09:37.590Z,REGULAR,False,2,"Georgiaville, RI",0,0,,5.0,,4.0,,,,,,eng,Na
102464620,Apple,Work life balance very good,Not enough grow up opportunities,4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102464620.htm,Engineers,2026-01-25T06:53:09.470Z,REGULAR,False,0,Cork,0,0,,,,,,,,,,eng,
102464161,Great,Great leaders the foster development,No room for growth being remote,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102464161.htm,Fraud Operations Specialist,2026-01-25T05:55:25.883Z,REGULAR,True,20,"West Palm Beach, FL",0,0,POSITIVE,2.0,APPROVE,3.0,4.0,5.0,POSITIVE,5.0,5.0,eng,
102463374,Built 0 to 1 products,"Awesome company, superb place to work at","No cons, company food could be better",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102463374.htm,CEO-Founder,2026-01-25T03:51:43.690Z,REGULAR,True,20,Anna Nagar West,0,0,,,,,,,,,,eng,
102461719,great,great company to work for,location of the job role,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102461719.htm,Firware Engineer,2026-01-24T22:21:08.160Z,REGULAR,True,0,"California City, CA",0,0,,,,,,,,,,eng,
102459161,Great culture,Great company culture and smart teammates. Learned a lot.,Some folks lead with ego,4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102459161.htm,Employee Relations Specialist,2026-01-24T15:05:07.757Z,REGULAR,False,0,"Cupertino, CA",0,0,POSITIVE,3.0,APPROVE,5.0,4.0,5.0,POSITIVE,3.0,2.0,eng,Be mindful of long hours and burn out
