company,company_id,review_id,summary,pros,cons,rating,job_title,review_datetime,employment_status,is_current_employee,location,career_opportunities_rating,compensation_and_benefits_rating,recommend_to_friend_rating,senior_management_rating,work_life_balance_rating,language,advice_to_management,keyword_count
DELOITTE,2763,102515482,Great place to work,"Respectful peers, passionate colleagues, nice environment",Hard to get promotion at IC level,5,,2026-01-27 17:25:40.547000+00:00,REGULAR,True,,,,,,,eng,n/a,0
DELOITTE,2763,102515033,Good Jib,Good pay for what you do. Benefits as a part timer.,Not a lot of full time opportunities. Can be difficult to get into higher roles,4,Technical Expert,2026-01-27 16:53:31.473000+00:00,PART_TIME,True,"Tacoma, WA",,,,,,eng,n/a,0
DELOITTE,2763,102513768,Good starting job,"Great culture
Great teammates
Discount/services","Micromanage
Not enough time off
Overworked
Not enough pay
Hard to move up",3,Retail Sales Associate,2026-01-27 15:23:06.020000+00:00,REGULAR,False,"Rancho Cucamonga, CA",3,2,NEGATIVE,1,1,eng,"Open up more positions
Actually teach people how to develop",0
DELOITTE,2763,102513455,Intern experience,"Awesome, smart people. Great workplace.",Nothing to add for this section.,5,Software Engineer(Internship),2026-01-27 15:00:40.123000+00:00,INTERN,False,"Cupertino, CA",,,,,,eng,n/a,0
DELOITTE,2763,102513429,good and fun experience,"good working environment, get to meet lots of nice people","lots of pressure, leadership care more about a few kpis rather than overall selling.",4,Retail Sales Associate,2026-01-27 14:59:09.130000+00:00,,False,"Cambridge, England",4,4,POSITIVE,4,4,eng,n/a,0
DELOITTE,2763,102512543,Good,Nice work! Great people! Fun!,"Long hours, dirty, long travel.",5,Janitor,2026-01-27 14:03:50.533000+00:00,PART_TIME,True,New Delhi,,,,,,eng,n/a,0
DELOITTE,2763,102512216,Grea time,"Great Pay
Great work environment",Rude boss and smelled off.,5,Member Of Technical Staff,2026-01-27 13:47:04.217000+00:00,FREELANCE,True,"Pittsburgh, PA",,,POSITIVE,,,eng,n/a,0
DELOITTE,2763,102510041,Student position,"Flexible hours, respecting the need for me to study",Can not work from home,5,Test Engineer Intern,2026-01-27 11:55:08.773000+00:00,PART_TIME,False,Tel Aviv-Yafo,,,,,,eng,n/a,0
DELOITTE,2763,102509963,Apple expert,"good discount
Product knowledge
Customer service","retail
Long hours
Lack of progression",5,Expert,2026-01-27 11:50:03.440000+00:00,REGULAR,True,"London, England",,,,,,eng,n/a,0
DELOITTE,2763,102502598,It was fine,Not bad and very bad at the same time,Really enjoyed the buffet. They had a lot of good food.,3,Business Anakyst,2026-01-27 06:39:29.303000+00:00,,True,"Los Altos, CA",,,,,,eng,n/a,2
DELOITTE,2763,102472394,AppleCare,"Work at home 
Good team 
Good management",None as they are doing great,5,Apple Care AHA Advisor,2026-01-25 21:42:48.093000+00:00,REGULAR,True,"Denver, CO",5,5,POSITIVE,5,5,eng,n/a,0
DELOITTE,2763,102471582,Great but place is changing,"Great benefits and culture within 
Lots of room for growth
Wages/stocks and plenty of benefits that are lgbtq inclusive and great for parents or people in school.
Supportive management at my locations","Some of your great work goes unnoticed.
You’re only as good as last weeks results. That’s how it started feeling. Behaviors and putting the customer first was def how Apple started. Now it feels like a mill just trying to hit all transaction points and work with as many customers as once as you can.",4,Product Expert,2026-01-25 19:56:33.680000+00:00,PART_TIME,False,"Miami, FL",5,5,POSITIVE,5,4,eng,Get back to a behavior standpoint focusing more on Apple steps of service then how many customers one person can take.,0
DELOITTE,2763,102468970,Great for students!,"Great Benefits like tuition reimbursement 
Flexible with work schedule",High competition for growth or promotions,5,Specialist,2026-01-25 14:32:01.933000+00:00,PART_TIME,True,"Vancouver, BC",4,5,POSITIVE,4,5,eng,n/a,0
DELOITTE,2763,102466230,Good place,"Proffessionals and team players, helping a lot","Far from home, at least for me",5,Working Student,2026-01-25 09:44:46.653000+00:00,PART_TIME,False,Herzliya,5,5,POSITIVE,5,5,eng,n/a,0
DELOITTE,2763,102465322,Great,Pretty good company w/good people.,Long hours for work and customers,5,Sales Associate,2026-01-25 08:09:37.590000+00:00,REGULAR,False,"Georgiaville, RI",5,4,,,,eng,Na,0
DELOITTE,2763,102464620,Apple,Work life balance very good,Not enough grow up opportunities,4,Engineers,2026-01-25 06:53:09.470000+00:00,REGULAR,False,Cork,,,,,,eng,n/a,0
DELOITTE,2763,102464161,Great,Great leaders the foster development,No room for growth being remote,5,Fraud Operations Specialist,2026-01-25 05:55:25.883000+00:00,REGULAR,True,"West Palm Beach, FL",2,3,POSITIVE,5,5,eng,n/a,0
DELOITTE,2763,102463374,Built 0 to 1 products,"Awesome company, superb place to work at","No cons, company food could be better",5,CEO-Founder,2026-01-25 03:51:43.690000+00:00,REGULAR,True,Anna Nagar West,,,,,,eng,n/a,0
DELOITTE,2763,102461719,great,great company to work for,location of the job role,5,Firware Engineer,2026-01-24 22:21:08.160000+00:00,REGULAR,True,"California City, CA",,,,,,eng,n/a,0
DELOITTE,2763,102459161,Great culture,Great company culture and smart teammates. Learned a lot.,Some folks lead with ego,4,Employee Relations Specialist,2026-01-24 15:05:07.757000+00:00,REGULAR,False,"Cupertino, CA",3,5,POSITIVE,3,2,eng,Be mindful of long hours and burn out,0
DELOITTE,2763,102457290,good company,fun and lots to learn,management can be passive aggressive,5,,2026-01-24 11:06:27.070000+00:00,REGULAR,False,,,,,,,eng,n/a,0
DELOITTE,2763,102457059,Innovative environment with high expectations,"Cutting-edge technology, talented peers, excellent benefits, strong career growth opportunities, collaborative culture.","Long hours, high-pressure environment, work-life balance can be difficult, frequent internal politics, demanding management expectations.",4,Software Engineer,2026-01-24 10:38:59.067000+00:00,REGULAR,True,"Austin, TX",5,5,POSITIVE,3,2,eng,"Encourage clearer communication of priorities, foster sustainable workloads, provide more recognition for individual contributions, and maintain transparency in promotions.",0
DELOITTE,2763,102456315,Manager,Very nice people to work with.,I love my job more than my friends.,5,Mnager,2026-01-24 09:16:52.567000+00:00,REGULAR,True,"New York, NY",5,5,POSITIVE,5,4,eng,n/a,0
DELOITTE,2763,102452454,Entrupous Manager,Hefty pay. Good work life balance. Good mental health. Great peers and connections(started my own business with help of them).,Some work during the weekend but that's rare.,5,Financial Analyst,2026-01-24 01:09:13.610000+00:00,REGULAR,False,"Cupertino, CA",5,5,POSITIVE,5,5,eng,Continue what you're doing,0
DELOITTE,2763,102449247,Good culture,Treat people well and care people,Not competitive salary as a contractor,5,,2026-01-23 17:43:25.403000+00:00,CONTRACT,False,,,,,,,eng,n/a,0
DELOITTE,2763,102448377,Amazing,Great place to work temporarily,Was unable to secure a full time gig,5,Analyst,2026-01-23 16:10:36.717000+00:00,TEMPORARY,False,"Washington, DC",5,,,,,eng,Offer more full time gigs,0
DELOITTE,2763,102447040,good overall,good management and helping environment,didn't receive a return offer,4,Internship,2026-01-23 14:16:28.737000+00:00,INTERN,False,"Cupertino, CA",3,3,POSITIVE,5,4,eng,n/a,0
DELOITTE,2763,102443507,Great Role,Lots of benefits and people are kind,I have not experienced any cons,5,Facility Manager,2026-01-23 10:37:31.257000+00:00,REGULAR,True,"Los Angeles, CA",,,,,,eng,n/a,0
DELOITTE,2763,102442238,Good place to learn,Very established consumer electronic design company,cafe food is not free,5,,2026-01-23 09:28:10.960000+00:00,REGULAR,True,,4,4,,5,4,eng,n/a,0
DELOITTE,2763,102441033,Sample Pay,"Good work environment, like it","Bad work/life balance, working on weekends",5,College Advisor,2026-01-23 08:30:09.577000+00:00,PART_TIME,False,"Remolino, TX",,,,,,eng,n/a,1
DELOITTE,2763,102441033,Sample Pay,"Good work environment, like it","Bad work/life balance, working on weekends",5,College Advisor,2026-01-23 08:30:09.577000+00:00,PART_TIME,False,"Remolino, TX",,,,,,eng,n/a,1
DELOITTE,2763,102440300,Great,Great work life balance. Good pay .,"Long hours, not too many cons .",5,Software Developer,2026-01-23 07:55:11.473000+00:00,REGULAR,True,"Los Angeles, CA",5,5,POSITIVE,5,5,eng,n/a,0
DELOITTE,2763,102440289,Good Experience,"Great learning environment
Great benefits
Great cultural ideals/ethics",Career growth nonexistent for specific area/role,4,People Operations Planner,2026-01-23 07:54:54.367000+00:00,REGULAR,False,"Charlotte, NC",,,POSITIVE,,,eng,n/a,0
DELOITTE,2763,102439123,Misleading,Can be fun and get discounts,"Money vs expectations, never enough time to do things",2,Manager,2026-01-23 06:51:15.157000+00:00,REGULAR,False,"Tampa, FL",,,,,,eng,n/a,0
DELOITTE,2763,102436350,Culture,There’s a little bit of a positive intent work environment,"Apple has transitioned from a place where people learned from their mistakes to getting you fired when you make an inadvertent mistake because you weren't properly trained.

Don’t even get me started on the work life balance is garbage.",1,Apple Genius,2026-01-23 03:55:41.950000+00:00,REGULAR,True,,1,3,NEGATIVE,1,1,eng,n/a,0
DELOITTE,2763,102436246,Love &amp; Hate,"Security, perks and meeting like-minded individuals.","- Schedules are always changing so it can be difficult to plan your life at times. 

- Crabs in a bucket mentality",4,Specialist,2026-01-23 03:48:43.123000+00:00,REGULAR,False,"London, England",4,5,POSITIVE,2,3,eng,Stop acting like NPC's,0
DELOITTE,2763,102433623,Good,"Good teamwork indoor working
S","so far im good.
Pay fairly",4,,2026-01-23 00:17:45.500000+00:00,PART_TIME,True,,,,,,,eng,n/a,0
DELOITTE,2763,102433576,great company,good company to work at.,Highly demanding and pushes you to your limit.,5,Marketer,2026-01-23 00:12:39.303000+00:00,PART_TIME,True,Lagos,,,,,,eng,n/a,0
DELOITTE,2763,102432912,Environment,Amazing people to work with,no cons at all to be honest,5,Sales Associate,2026-01-22 23:07:11.043000+00:00,PART_TIME,True,"Vancouver, BC",5,5,POSITIVE,5,5,eng,"no advice, there amazing",0
DELOITTE,2763,102431512,Interned last summer,"I interned last summer at the Apple Cupertino office as a marketing intern, and it was an amazing experience. The projects they give are very hands-on.",I would love as an intern to be able to work on more cross-functional projects with technical teams as someone in the marketing department.,5,Marketing Intern,2026-01-22 20:54:31.147000+00:00,INTERN,True,"Cupertino, CA",,,,,,eng,n/a,0
INTEL,1519,102542311,Don't join contract,Ijp Schedule Ot incentives Hike,"Politics, Language preference Break time is 45 minutes",4,Customer Support,2026-01-28 20:59:41.210000+00:00,CONTRACT,True,Marathahalli,4,4,POSITIVE,4,4,eng,Increase 1 hour break to 1 hour 15 minutes,0
INTEL,1519,102541104,Fairly good workplace,"Job stability once you get a permanent full-time contract
Reasonable perks
Efficient HR responses
Good facilities",Not too much flexibility with working hours,4,Customer Service Representative,2026-01-28 19:29:30.707000+00:00,REGULAR,True,"Toronto, ON",4,2,POSITIVE,5,2,eng,n/a,0
INTEL,1519,102540524,Good,excellent salary for a student for just knowing how to speak english,"depends on the account you are working for 
my account cons were achieving and still getting asked for more and the bad management",4,Customer Service Representative,2026-01-28 18:48:34.713000+00:00,REGULAR,False,"Cairo, Cairo Governorate",,,,,,eng,be easy on your employees,1
INTEL,1519,102540082,Its not a bad position,"work from home, good breaks good hours plenty of OT if you want it.","quota set too high, limited timeframes for calls and after calls, not enough suppoer for new agents on the floor, no choice in all the OT or when we do the OT, way too hard to get commission",3,OnStar BBWC Advisor,2026-01-28 18:17:53.777000+00:00,REGULAR,True,"Fort Wayne, IN",1,2,NEGATIVE,3,2,eng,give more options on when mandated OT can be done more help to new agents,1
INTEL,1519,102535899,Mis comentarios,Maquina de cafe y aire acondicionado,"Pocos breaks, y maquina esta desabastecida",4,Customer Service Agent,2026-01-28 13:48:20.867000+00:00,REGULAR,True,"Lima, Lima Region",4,4,POSITIVE,4,4,eng,n/a,0
INTEL,1519,102535874,La mejor primera experiencia,"Excelente trato a su empleados y horarios flexibles, buenos beneficios.",Si vives un poco lejos puede que sea un poco difícil el tramo para llegar al site pero ya que cuentan con diferentes sedes en la ciudad no sería tan complicado.,5,Customer Service Agent,2026-01-28 13:47:10.337000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
INTEL,1519,102535853,Encuesta,Muy buen ambiente de trabajo!,El aire acondicionado a veces es muy frío,5,Agent,2026-01-28 13:46:36.177000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
INTEL,1519,102535837,Experience,"Best place to work, good environment",El Aire acondicionado muy fuerte,5,Customer Service Agent,2026-01-28 13:45:56.243000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,Es bueno por ahora,0
INTEL,1519,102535835,Review,"Planilla
Seguro
Aprendes sobre otras culturas y aumentas tu vocabulario","No hay restaurante 
Está un poco lejos de mi casa 😔",5,Agent,2026-01-28 13:45:50.027000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,Implementen un restaurante (no tan caro porfa) una alianza con Sodexo o algo así,0
INTEL,1519,102535810,Agents Experience,"Nice trainers, air condirtioning, nice coworkers and amazing security",Away from home and university,5,Agent,2026-01-28 13:44:50.863000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
CISCO,1425,102542311,Don't join contract,Ijp Schedule Ot incentives Hike,"Politics, Language preference Break time is 45 minutes",4,Customer Support,2026-01-28 20:59:41.210000+00:00,CONTRACT,True,Marathahalli,4,4,POSITIVE,4,4,eng,Increase 1 hour break to 1 hour 15 minutes,0
CISCO,1425,102541104,Fairly good workplace,"Job stability once you get a permanent full-time contract
Reasonable perks
Efficient HR responses
Good facilities",Not too much flexibility with working hours,4,Customer Service Representative,2026-01-28 19:29:30.707000+00:00,REGULAR,True,"Toronto, ON",4,2,POSITIVE,5,2,eng,n/a,0
CISCO,1425,102540524,Good,excellent salary for a student for just knowing how to speak english,"depends on the account you are working for 
my account cons were achieving and still getting asked for more and the bad management",4,Customer Service Representative,2026-01-28 18:48:34.713000+00:00,REGULAR,False,"Cairo, Cairo Governorate",,,,,,eng,be easy on your employees,1
CISCO,1425,102540082,Its not a bad position,"work from home, good breaks good hours plenty of OT if you want it.","quota set too high, limited timeframes for calls and after calls, not enough suppoer for new agents on the floor, no choice in all the OT or when we do the OT, way too hard to get commission",3,OnStar BBWC Advisor,2026-01-28 18:17:53.777000+00:00,REGULAR,True,"Fort Wayne, IN",1,2,NEGATIVE,3,2,eng,give more options on when mandated OT can be done more help to new agents,1
CISCO,1425,102535899,Mis comentarios,Maquina de cafe y aire acondicionado,"Pocos breaks, y maquina esta desabastecida",4,Customer Service Agent,2026-01-28 13:48:20.867000+00:00,REGULAR,True,"Lima, Lima Region",4,4,POSITIVE,4,4,eng,n/a,0
CISCO,1425,102535874,La mejor primera experiencia,"Excelente trato a su empleados y horarios flexibles, buenos beneficios.",Si vives un poco lejos puede que sea un poco difícil el tramo para llegar al site pero ya que cuentan con diferentes sedes en la ciudad no sería tan complicado.,5,Customer Service Agent,2026-01-28 13:47:10.337000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
CISCO,1425,102535853,Encuesta,Muy buen ambiente de trabajo!,El aire acondicionado a veces es muy frío,5,Agent,2026-01-28 13:46:36.177000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
CISCO,1425,102535837,Experience,"Best place to work, good environment",El Aire acondicionado muy fuerte,5,Customer Service Agent,2026-01-28 13:45:56.243000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,Es bueno por ahora,0
CISCO,1425,102535835,Review,"Planilla
Seguro
Aprendes sobre otras culturas y aumentas tu vocabulario","No hay restaurante 
Está un poco lejos de mi casa 😔",5,Agent,2026-01-28 13:45:50.027000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,Implementen un restaurante (no tan caro porfa) una alianza con Sodexo o algo así,0
CISCO,1425,102535810,Agents Experience,"Nice trainers, air condirtioning, nice coworkers and amazing security",Away from home and university,5,Agent,2026-01-28 13:44:50.863000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
CISCO,1425,102535685,Bueno,"Buen ambiente laboral 
Buenas campañas
Pagan a tiempo",Campañas con bonos prometidos difícil casi imposible de alcanzar,2,Agent,2026-01-28 13:38:52.873000+00:00,REGULAR,True,"Lima, Lima Region",2,2,POSITIVE,2,1,eng,Nada,0
CISCO,1425,102535430,And environment that encourages friendship,"As far as my personal experience, the people are nice. The whole training process was a good experience that combined new friendships and knowledge.",Probably the work hours are a bit longer than I'd like.,4,Operations Costumer Expert I,2026-01-28 13:26:00.747000+00:00,REGULAR,True,"Lima, Lima Region",3,4,POSITIVE,4,4,eng,-,0
CISCO,1425,102535290,Survey,"Flexible hours
Good benefits
Good work environment","Small premises
Too much traffic to get here
No areas for resting",5,Customer Service Representative,2026-01-28 13:19:02.217000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
CISCO,1425,102535215,Great place to work .,"Good benefits
Good Work environment","Location
Location
Location 
Location
Location",5,agente callcenter,2026-01-28 13:16:16.137000+00:00,REGULAR,True,"Lima, Lima Region",4,4,POSITIVE,4,4,eng,n/a,0
CISCO,1425,102535204,"Buena flexibilidad horaria, mala gestión de personal.","Flexibilidad horaria con estudios
Beneficios diversos
Ubicación céntrica","Mala gestión de personal
Desconexión forzada del exterior
Alta rotación de staff",5,Agent,2026-01-28 13:15:28.360000+00:00,REGULAR,True,"Lima, Lima Region",4,4,POSITIVE,3,2,eng,"Sueldos más competitivos, métricas más claras, mejor gestión de agentes.",0
CISCO,1425,102533740,Great place to work,"Buena empresa para trabajar, flexibles",Algo apartado el lugar de trabajo,5,Content Moderator,2026-01-28 12:07:44.213000+00:00,REGULAR,True,"Bogotá, Bogota",,5,,5,4,eng,n/a,0
CISCO,1425,102533647,Emotions and Experience Activity,Fue una actividad muy dinámica y divertida que ayuda a salir de la monotonía y recargar energías para continuar,No veo ningún contra en la actividad,5,Content Moderator,2026-01-28 12:04:14.503000+00:00,REGULAR,True,"Bogotá, Bogota",5,5,POSITIVE,5,5,eng,"No hay ninguno, la actividad fue muy completa",0
CISCO,1425,102533622,Buen ambiente laboral,"La empresa cuenta con un buen ambiente laboral, diversas actividades y apoyos.",Dan poco tiempo de break.,5,Operations Customer Expert 1,2026-01-28 12:03:08.967000+00:00,REGULAR,True,"Bogotá, Bogota",4,5,POSITIVE,5,4,eng,Mejorar un poco el tiempo de descanso.,0
CISCO,1425,102533610,Excelente,Un excelente ambiente laboral que se preocupa por sus empleados,Más dinamismo respecto a la elección de horarios,5,Content Moderator,2026-01-28 12:02:18.947000+00:00,REGULAR,True,"Bogotá, Bogota",5,5,POSITIVE,5,5,eng,No reducir beneficios para los empleados,0
CISCO,1425,102533605,Good laboral environment,Good place to work 👍🏽,"Anything, everything is ok and cool",5,Content Moderator,2026-01-28 12:02:04.830000+00:00,REGULAR,True,"Bogotá, Bogota",5,5,POSITIVE,5,5,eng,n/a,0
APPLE,1138,102542311,Don't join contract,Ijp Schedule Ot incentives Hike,"Politics, Language preference Break time is 45 minutes",4,Customer Support,2026-01-28 20:59:41.210000+00:00,CONTRACT,True,Marathahalli,4,4,POSITIVE,4,4,eng,Increase 1 hour break to 1 hour 15 minutes,0
APPLE,1138,102541104,Fairly good workplace,"Job stability once you get a permanent full-time contract
Reasonable perks
Efficient HR responses
Good facilities",Not too much flexibility with working hours,4,Customer Service Representative,2026-01-28 19:29:30.707000+00:00,REGULAR,True,"Toronto, ON",4,2,POSITIVE,5,2,eng,n/a,0
APPLE,1138,102540524,Good,excellent salary for a student for just knowing how to speak english,"depends on the account you are working for 
my account cons were achieving and still getting asked for more and the bad management",4,Customer Service Representative,2026-01-28 18:48:34.713000+00:00,REGULAR,False,"Cairo, Cairo Governorate",,,,,,eng,be easy on your employees,1
APPLE,1138,102540082,Its not a bad position,"work from home, good breaks good hours plenty of OT if you want it.","quota set too high, limited timeframes for calls and after calls, not enough suppoer for new agents on the floor, no choice in all the OT or when we do the OT, way too hard to get commission",3,OnStar BBWC Advisor,2026-01-28 18:17:53.777000+00:00,REGULAR,True,"Fort Wayne, IN",1,2,NEGATIVE,3,2,eng,give more options on when mandated OT can be done more help to new agents,1
APPLE,1138,102535899,Mis comentarios,Maquina de cafe y aire acondicionado,"Pocos breaks, y maquina esta desabastecida",4,Customer Service Agent,2026-01-28 13:48:20.867000+00:00,REGULAR,True,"Lima, Lima Region",4,4,POSITIVE,4,4,eng,n/a,0
APPLE,1138,102535874,La mejor primera experiencia,"Excelente trato a su empleados y horarios flexibles, buenos beneficios.",Si vives un poco lejos puede que sea un poco difícil el tramo para llegar al site pero ya que cuentan con diferentes sedes en la ciudad no sería tan complicado.,5,Customer Service Agent,2026-01-28 13:47:10.337000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
APPLE,1138,102535853,Encuesta,Muy buen ambiente de trabajo!,El aire acondicionado a veces es muy frío,5,Agent,2026-01-28 13:46:36.177000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
APPLE,1138,102535837,Experience,"Best place to work, good environment",El Aire acondicionado muy fuerte,5,Customer Service Agent,2026-01-28 13:45:56.243000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,Es bueno por ahora,0
APPLE,1138,102535835,Review,"Planilla
Seguro
Aprendes sobre otras culturas y aumentas tu vocabulario","No hay restaurante 
Está un poco lejos de mi casa 😔",5,Agent,2026-01-28 13:45:50.027000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,Implementen un restaurante (no tan caro porfa) una alianza con Sodexo o algo así,0
APPLE,1138,102535810,Agents Experience,"Nice trainers, air condirtioning, nice coworkers and amazing security",Away from home and university,5,Agent,2026-01-28 13:44:50.863000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
APPLE,1138,102535685,Bueno,"Buen ambiente laboral 
Buenas campañas
Pagan a tiempo",Campañas con bonos prometidos difícil casi imposible de alcanzar,2,Agent,2026-01-28 13:38:52.873000+00:00,REGULAR,True,"Lima, Lima Region",2,2,POSITIVE,2,1,eng,Nada,0
APPLE,1138,102535430,And environment that encourages friendship,"As far as my personal experience, the people are nice. The whole training process was a good experience that combined new friendships and knowledge.",Probably the work hours are a bit longer than I'd like.,4,Operations Costumer Expert I,2026-01-28 13:26:00.747000+00:00,REGULAR,True,"Lima, Lima Region",3,4,POSITIVE,4,4,eng,-,0
APPLE,1138,102535290,Survey,"Flexible hours
Good benefits
Good work environment","Small premises
Too much traffic to get here
No areas for resting",5,Customer Service Representative,2026-01-28 13:19:02.217000+00:00,REGULAR,True,"Lima, Lima Region",5,5,POSITIVE,5,5,eng,n/a,0
APPLE,1138,102535215,Great place to work .,"Good benefits
Good Work environment","Location
Location
Location 
Location
Location",5,agente callcenter,2026-01-28 13:16:16.137000+00:00,REGULAR,True,"Lima, Lima Region",4,4,POSITIVE,4,4,eng,n/a,0
